question,choices,question_formatted,answer,scene_id,label,locations
"""In which area is the purple sofa situated, next to a large wooden door leading to another room?""","['Near a glass coffee table', 'In front of a television', 'Adjacent to a yellow rug', 'Between two decorative plants']","""In which area is the purple sofa situated, next to a large wooden door leading to another room?"" A) Near a glass coffee table B) In front of a television C) Adjacent to a yellow rug D) Between two decorative plants. Answer:",C,00000-kfPV7w3FaU5,location_speicial,"sofa (4): [2.088, 1.6, -2.114]"
"""In which area is the purple sofa positioned, relative to the patterned cushions and the wooden cabinet?""","['Next to a blue container', 'Near the fireplace', 'Adjacent to a colorful rug', 'Across from a wall with wallpaper']","""In which area is the purple sofa positioned, relative to the patterned cushions and the wooden cabinet?"" A) Next to a blue container B) Near the fireplace C) Adjacent to a colorful rug D) Across from a wall with wallpaper. Answer:",B. Near the fireplace,00000-kfPV7w3FaU5,location_speicial,"sofa (5): [1.316, 1.798, -2.252]"
"""In which area is the striped carpet located on the staircase leading down towards the entrance door?""","['adjacent to a mirror', 'in front of a wooden cabinet', 'alongside a window', 'above a welcome mat']","""In which area is the striped carpet located on the staircase leading down towards the entrance door?"" A) adjacent to a mirror B) in front of a wooden cabinet C) alongside a window D) above a welcome mat. Answer:",A. adjacent to a mirror,00000-kfPV7w3FaU5,location_speicial,"stair (6): [2.274, -0.473, -1.828]"
"""Where is the purple chair positioned in relation to the yellow rug on the floor?""","['next to the fireplace', 'against the wall beside the shelf', 'in front of the window', 'across from the couch']","""Where is the purple chair positioned in relation to the yellow rug on the floor?"" A) next to the fireplace B) against the wall beside the shelf C) in front of the window D) across from the couch. Answer:",B. against the wall beside the shelf,00000-kfPV7w3FaU5,location_speicial,"chair (7): [3.172, 4.14, -2.379]"
"""Where is the colorful storage box located in relation to the two purple couches and the wooden table?""","['next to a large plant', 'against the wall', 'on top of the wooden table', 'near a stack of magazines']","""Where is the colorful storage box located in relation to the two purple couches and the wooden table?"" A) next to a large plant B) against the wall C) on top of the wooden table D) near a stack of magazines. Answer:",B,00000-kfPV7w3FaU5,location_speicial,"table (12): [5.114, 4.158, -2.375]"
"""Where is the radiator located in relation to the kitchen sink and the large countertop?""","['Next to the refrigerator', 'Below the cabinets', 'Behind the gas stove', 'Across from the window']","""Where is the radiator located in relation to the kitchen sink and the large countertop?"" A) Next to the refrigerator B) Below the cabinets C) Behind the gas stove D) Across from the window. Answer:",B. Below the cabinets,00000-kfPV7w3FaU5,location_speicial,"radiator (14): [6.561, 1.542, -2.142]"
"""In which location is the white refrigerator positioned relative to the wooden shelves and the sink area?""","['next to a window', 'adjacent to the counter', 'opposite the table', 'behind the dining chairs']","""In which location is the white refrigerator positioned relative to the wooden shelves and the sink area?"" A) next to a window B) adjacent to the counter C) opposite the table D) behind the dining chairs. Answer:",B,00000-kfPV7w3FaU5,location_speicial,"appliance (16): [7.402, 1.075, -1.576]"
"""In which section of the room is the wooden bedframe positioned, next to the door that leads to another area?""","['Near a large window', 'Adjacent to a dresser', 'Close to a closet', 'Below a painting on the wall']","""In which section of the room is the wooden bedframe positioned, next to the door that leads to another area?"" A) Near a large window B) Adjacent to a dresser C) Close to a closet D) Below a painting on the wall. Answer:",C. Close to a closet,00000-kfPV7w3FaU5,location_speicial,"bed (24): [1.732, 2.181, 0.353]"
"""In which part of the room is the wooden bed frame positioned, adjacent to a bedside table and along a wall with patterned wallpaper?""","['Near the entrance', 'Next to a window', 'Against the wall', 'In the center of the room']","""In which part of the room is the wooden bed frame positioned, adjacent to a bedside table and along a wall with patterned wallpaper?"" A) Near the entrance B) Next to a window C) Against the wall D) In the center of the room. Answer:",C. Against the wall,00000-kfPV7w3FaU5,location_speicial,"bed (25): [1.544, 3.79, 0.653]"
"""Where is the bed located in relation to the white cabinet and the window in the room?""","['Next to a large wooden table', 'Across from a large set of curtains', 'Close to a small dresser', 'Opposite a decorative mirror']","""Where is the bed located in relation to the white cabinet and the window in the room?"" A) Next to a large wooden table B) Across from a large set of curtains C) Close to a small dresser D) Opposite a decorative mirror. Answer:",C,00000-kfPV7w3FaU5,location_speicial,"bed (26): [5.881, 3.732, 0.698]"
"""In which room is the white bed standing with its legs on a patterned rug, positioned near the window and beside a wooden cabinet?""","['Kitchen', 'Living Room', 'Bedroom', 'Bathroom']","""In which room is the white bed standing with its legs on a patterned rug, positioned near the window and beside a wooden cabinet?"" A) Kitchen B) Living Room C) Bedroom D) Bathroom. Answer:",C,00000-kfPV7w3FaU5,location_speicial,"bed (27): [5.93, 3.216, 0.422]"
"""In which room is the white desk with ornate legs positioned near a patterned rug and an open door leading to another space?""","['Living room', 'Kitchen', 'Bedroom', 'Bathroom']","""In which room is the white desk with ornate legs positioned near a patterned rug and an open door leading to another space?"" A) Living room B) Kitchen C) Bedroom D) Bathroom. Answer:",C. Bedroom,00000-kfPV7w3FaU5,location_speicial,"table (29): [6.94, 1.305, 0.42]"
